id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
english/wesleych/Z500529577,10,8,16
english/smithcha/Z300489005,14,11,14
english/brownth1/Z200290308,16,14,16
english/billings/Z400279413,13,8,14
c20-african-american/da22011/Z300262786,9,0,14
english/wesleych/Z400526717,13,8,16
english-ed2/clarejoh/Z200646497,14,13,14
english/jordanth/Z200406286,16,10,20
modern/oxf0901/Z200245180,7,3,14
english/rawnsley/Z200472682,12,10,14
english/perronet/Z200460348,15,14,16
c20-english/ep30038/Z300602384,10,0,16
english/allingha/Z300141800,12,11,14
english/stuarthy/Z200499242,13,8,16
english/cavenmar/Z400310070,12,10,14
english/clarejoh/Z300314657,13,12,16
english-ed2/ep2402/Z200659132,13,9,14
english/tupperma/Z200513998,11,9,14
english/elysedmu/Z200349743,15,6,18
c20-english/ep20029/Z200595378,15,8,16
english-ed2/hayesalf/Z200679255,19,15,20
c20-american/am20104/Z300218900,6,2,16
english/walkerwi/Z200516810,14,12,15
modern/car1702/Z200296528,20,17,20
c20-english/ep30092/Z300604624,6,2,14
c20-english/ep20160/Z300601591,9,0,16
english/rossetch/Z400477253,14,12,14
c20-american/am20061/Z400213706,10,4,14
c20-english/ep20010/Z300568061,11,8,20
english/walkerwi/Z200516788,16,14,16
english/thelwall/Z200508777,17,15,18
english/elliotte/Z300346393,13,12,15
english-ed2/grayjohn/Z200679181,12,8,14
c20-african-american/da20086/Z300330758,9,2,14
english/arnoldco/Z200263323,12,12,16
american/am0214/Z400150999,12,8,14
american/am0784/Z200173261,8,0,19
c20-english/ep20146/Z300584803,16,4,20
faber/fa1301/Z200560378,6,0,14
english/mastersm/Z200427155,12,10,16
american/am1346/Z300201812,12,11,14
c20-english/fa0201/Z300608479,8,3,14
english/polwhele/Z300463111,14,12,14
c20-american/am22124/Z300297732,11,8,14
english/shipmant/Z200485318,12,5,14
english/ellisonh/Z300348198,11,11,14
english/mirrorof/Z200438150,12,6,16
english/philipsk/Z300461595,14,10,15
c20-american/am22171/Z400246857,10,4,15
american/am0474/Z200161300,25,21,29
english/grainger/Z300381872,12,10,14
english/wordswwi/Z400543120,13,11,14
english/granvill/Z200382039,15,12,16
english/rawnsley/Z200471831,10,7,14
c20-english/car1501/Z200136136,9,4,14
american/am0167/Z300149185,9,4,17
c20-english/car0802/Z200296368,19,4,20
c20-english/ep20128/Z200582725,9,2,16
english/granvill/Z200382056,18,15,20
english/ellisonh/Z300348601,14,12,14
english-ed2/ep2549/Z300670474,13,10,16
english/taylorje/Z300504849,17,14,20
c20-american/am20114/Z300220606,10,6,18
english/emcrouch/Z200350180,13,10,14
english/popewalt/Z200463982,6,2,15
english/popealex/Z200463613,14,12,14
english/billings/Z400279328,11,8,14
english/clarejoh/Z300313854,14,12,14
modern/car1901/Z200548413,8,2,13
english/hannaypa/Z300385820,14,6,14
english/heathrob/Z300390771,16,10,17
english/rawnsley/Z200471998,14,13,14
english/alfordhe/Z200140498,14,9,14
english/barlowge/Z300270642,11,9,14
english/lyttleto/Z200420209,16,10,18
c20-american/am20008/Z300203256,8,4,16
english/galtjohn/Z300377193,10,10,14
english/havergal/Z400388595,13,12,20
english/cokaynes/Z300316017,14,8,20
